year,collection_round,sub_basin,Total
2019,1,Byeongseongcheon,104
2019,1,Geojedo,276
2019,1,Hangang_Jamsil,223
2019,1,Imjingangharyu,164
2019,1,Gangreung_Namdaecheon,332
2019,1,Chungjudaem,239
2019,1,Seomjingang_Seonamhae,272
2019,1,Hantangang,271
2019,1,Daecheongdaem,183
2019,1,Yeongsangang_Haryu,124
2019,1,Jejunamhae,61
2019,1,Yeongamcheon,89
2019,1,Imjingangsangryu,43
2019,1,Gahwacheon,363
2019,1,Hangang_Seoul,182
2019,1,Mihocheon,171
2019,1,Jujincheon,235
2019,1,Muju_Namdaecheon,126
2019,1,Inbukcheon,166
2019,1,Daejongcheon,179
2019,1,Sunchang,154
2019,1,Hwanggang,134
2019,1,Hoecheon,144
2019,1,Uiamdaem,228
2019,1,Gomakwoncheon,111
2019,1,Jejuseohae,29
2019,1,Sihwaho,99
2019,1,Seomjingang_Haryu,279
2019,1,Anseongcheon,102
2019,1,Geumgang_Gongju,244
2019,1,Dongjingang,264
2019,1,Namhangangharyu,296
2019,1,Naeseongcheon,193
2019,1,Pyeongchanggang,290
2019,1,Nonsancheon,165
2019,1,Sapgyocheon,156
2019,1,Isacheon,326
2019,1,Jejubukhae,42
2019,1,Samcheokosipcheon,249
2019,1,Yeosusi,40
2019,1,Juamdaem,243
2019,1,Cheongpyeongdaem,217
2019,1,Geumgang_Hagueon,89
2019,1,Yeongsangang_Jungryu(juksanbo),142
2019,1,Hapcheondaem,148
2019,1,Geumgang_Seohae,241
2019,1,Hangang_Seohae,172
2019,1,Jiseokcheon,188
2019,1,Nakdongchangnyeong,197
2019,1,Yocheon,162
2019,1,Nakdongsangju,120
2019,1,Jindo,103
2019,1,Sinangun,46
2019,1,Hongcheongang,201
2019,1,Mangyeonggang,246
2019,1,Yeonggang,174
2019,1,Nakdonggang_Namhae,311
2019,1,Namgangdaem,202
2019,1,Chuncheondaem,207
2019,1,Andongdaem,208
2019,1,Nakdongmilyang,159
2019,1,Chungjudaemharyu,148
2019,1,Daecheongdaemsangryu,82
2019,1,Wicheon,161
2019,1,Gyeongancheon,183
2019,1,Chogang,126
2019,1,Boseonggang,101
2019,1,Hoeyagang,190
2019,1,Wangpicheon,321
2019,1,Sueocheon,249
2019,1,Yeongdeokosipcheon,230
2019,1,Imhadaem,260
2019,1,Taehwagang,179
2019,1,Seomjingang_Daem,210
2019,1,Paldangdaem,28
2019,1,Hwangryonggang,150
2019,1,Gumibo(nakdonggumi),80
2019,1,Seomjingang_Daemharyu,171
2019,1,Yangyang_Namdaecheon,356
2019,1,Nakdonggang_Hagueon,132
2019,1,Yeongdongcheon,120
2019,1,Andongdaemharyu,152
2019,1,Milyanggang,213
2019,1,Yongdamdaemharyu,72
2019,1,Namhangangsangryu,231
2019,1,Yongdamdaem,155
2019,1,Wando,97
2019,1,Seomgang,275
2019,1,Pyeonghwauidaem,88
2019,1,Osucheon,136
2019,1,Bunam_Seawall,184
2019,1,Daecheongdaemharyu,80
2019,1,Dalcheon,247
2019,1,Bocheongcheon,159
2019,2,Hangang_Goyang,155
2019,2,Hyeongsangang,250
2019,2,Suyeonggang,248
2019,2,Saemangeum(jiksocheon),137
2019,2,Gangjeonggoryeongbo(nakdongwaegwan),161
2019,2,Namgang,134
2019,2,Seomjingokseong,141
2019,2,Geumhogang,277
2019,2,Gapcheon,150
2019,2,Yeongsangang_Hagueon,29
2019,2,Changnyeonghapcheonbo(nakdonggoryeong),139
2019,2,Gamcheon,90
2019,2,Soyanggang,162
2019,2,Namhaedo,268
2019,2,Geumsanmyeon,69
2019,2,Tamjingang,192
2019,2,Watancheon,236
